"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Influenza","Influenza activity","Intensity","-","2011-W32","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W32","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W32","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W32","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W32","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","FR","France",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W33","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W33","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","CY","Cyprus",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","FR","France",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","LT","Lithuania",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W34","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W34","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","FR","France",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W35","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W35","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","FR","France",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W36","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W36","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","FR","France",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W37","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W37","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W38","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W38","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W38","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W38","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W38","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W38","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","CY","Cyprus",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","DK","Denmark",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","IS","Iceland",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","LU","Luxembourg",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","NO","Norway",-,""
"Influenza","Influenza activity","Intensity","-","2011-W39","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W39","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","ES","Spain",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","HU","Hungary",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","IS","Iceland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","LU","Luxembourg",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W40","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","NO","Norway",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","SE","Sweden",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W40","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","ES","Spain",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","HU","Hungary",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","IS","Iceland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","LU","Luxembourg",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W41","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","NO","Norway",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","SE","Sweden",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W41","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","ES","Spain",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","HU","Hungary",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","IS","Iceland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","IT","Italy",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","LU","Luxembourg",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W42","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","NO","Norway",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","SE","Sweden",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W42","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","ES","Spain",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","HU","Hungary",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","IS","Iceland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","IT","Italy",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","LU","Luxembourg",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W43","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","NO","Norway",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","SE","Sweden",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W43","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","EE","Estonia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","EL","Greece",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","ES","Spain",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","FI","Finland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","FR","France",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","HU","Hungary",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","IE","Ireland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","IS","Iceland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","IT","Italy",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","LT","Lithuania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","LU","Luxembourg",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","LV","Latvia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","MT","Malta",-,""
"Influenza","Influenza activity","Intensity","-","2011-W44","NL","Netherlands",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","NO","Norway",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","PL","Poland",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","PT","Portugal",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","RO","Romania",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","SE","Sweden",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","SI","Slovenia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W44","SK","Slovakia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","AT","Austria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","BE","Belgium",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","BG","Bulgaria",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","CY","Cyprus",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","CZ","Czechia",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","DE","Germany",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","DK","Denmark",2.000000000,"Low"
"Influenza","Influenza activity","Intensity","-","2011-W45","EE","Estonia",2.000000000,"Low"
